name,otherNames,scientificName,popularity
Crotaphytinae,"[""collared lizards""]",,10
Crurotarsi,,,
Crustacean,,Crustacea,50
Cryolophosaurus,,,
Cryptodontia,,,
Cryptovenator,,,10
Ctenodactyloidea,,,
Ctenophora,"[""Comb jellies""]",,30
Ctenorhachis,,,10
Ctenosauriscidae,,,
Ctenosauriscus,,,10
Ctenospondylus,,,10
Cuban crocodile,,Crocodylus rhombifer,40
Cunninghamia,,,50
Cupressaceae subclade 1,,,
Cupressaceae subclade 2,,,
Cupressaceae subclade 3,,,
Cupressaceae subclade 4,,,
Cupressaceae subclade 5,,,
Cupressaceae,,,
Cupressoideae subclade 1,,,
Cupressoideae subclade 2,,,
Cupressoideae subclade 3,,,
Cupressoideae subclade 4,,,
Cupressoideae subclade 5,,,
Cupressoideae subclade 6,,,
Cupressoideae subclade 7,,,
Cupressoideae,,,
Cupressus,"[""cypress""]",,50
Curly-tailed lizards,,Leiocephalus,50
Cutgrass,,,50
Cutleria,,,10
Cuttlefish,,Sepiida,60
Cyamodontoidea,,,
Cyamodus,,,10
Cycad,,,20
Cycadales,,,
Cycas,,,50
Cyclotosaurus,,,10
Cylostrobus,,,10
Cymbospondylus,,,10
Cynodontia,,,
Cynognathia,,,
Cynognathus,,,10
Cyonosaurus,,,10
Cyperid clade subclade 1,,,
Cyperid clade subclade 2,,,
Cyperid clade subclade 3,,,
Cyperid clade,,,
Cyrtosia,,,30
Dacentrurus,,,10
Dactylomyinae,,,
Dall sheep,,Ovis dalli,50
Dalton's mouse,,Praomys daltoni,50
Dama gazelle,"[""Addra gazelle"", ""Mhorr gazelle""]",Nanger dama,50
Damaliscus lunatus,,,
Damaliscus pygargus,,,
Damaliscus,,,
Danthonioideae,,,10
Dark-tailed tree rat,,Niviventer cremoriventer,50
Darwin's leaf-eared mouse,,,50
Darwinius,,,10
Daspletosaurus,,,10
Dassie rat,,Petromus typicus,50
Dasyceps,,,10
Dasypogonaceae,,,10
Dasyproctidae,,,
Dasyuromorphia,,,
Decapodiformes,,,
Deer mouse,,Peromyscus,60
Deer,,Cervidae,80
Degu,,Octodon degus,50
Deinocheiridae,,,
Deinocheirus,,,20
Deinonychus,,,60
Deinosuchus,,,10
Delphinapterinae,,,
Delphinoidea,,,
Deltadromeus,,,10
Deltavjatia,,,10
Demandasaurus,,,10
Dendrerpeton,,,10
Dendrerpetontidae,,,
Denebola,,,10
Deomyinae,,,
Desert rat-kangaroo,,Caloprymnus campestris,30
Desert warthog,,Phacochoerus aethiopicus,60
Desman,,Desmanini,20
Desmatosuchinae,,,
Desmatosuchus,,,10
Desmostylia,,,
Desmostylus,,,20
Deuteropoda subclade 1,,,
Deuteropoda subclade 2,,,
Deuteropoda subclade 3,,,
Deuteropoda subclade 4,,,
Deuteropoda subclade 5,,,
Deuteropoda,,,
Deuterosaurus,,,10
Deuterostome,,Deuterostomia,30
Diabloceratops,,,10
Diademodon,,,10
Diandongosuchus,,,10
Diaphanopterodea,"[""Paramegasecoptera ""]",,10
Diapsida,,,
Diarrheneae,,,10
Dibatag,,Ammodorcas clarkei,50
Dibothrosuchus,,,10
Dicondylia,,,
Dicraeosauridae subclade 1,,,
Dicraeosauridae,,,
Dicraeosaurus,,,10
Dicynodon,,,10
Dicynodont subclade 1,,,
Dicynodont subclade 2,,,
Dicynodont,,Dicynodontia,35
Dicynodontoidea subclade 1,,,
Dicynodontoidea subclade 2,,,
Dicynodontoidea,,,
Dicynodontoides,,,10
Didazoon,,,
Diictodon,,,10
Diictodontia,,,
Dik-dik,,Madoqua,60
Dilong,,Dilong paradoxus,10
Dilophosauridae,,,
Dilophosaurus,,,60
Dimetrodon,,,60
Dinilysia,,,20
Dinocephalia,,,
Dinodontosaurus,,,10
Dinogorgon,,,10
Dinomyidae,,,
Dinosaur,,Dinosauria,95
Dinosauriformes,,,
Dinosauromorpha,,,
Dioon,,,50
Dioscoreaceae,,,
Dioscoreales subclade 1,,,
Dioscoreales,,,
Diplodocid subclade 1,,,
Diplodocid,,Diplodocidae,10
Diplodocimorpha,,,
Diplodocinae subclade 1,,,
Diplodocinae,,,
Diplodocus,,,60
Diplomys,,,
Dipnomorpha,,,
Dipodidae,,,
Dipodomyinae,,,
Diprotodon,,,30
Diprotodontia,,,
Diprotodontidae,,,
Diprotodontoidea,,,
Discosorida,,,10
Dissorophidae subclade 1,,,
Dissorophidae,,,
Dissorophoidea,,,
Djadochtatheroidea,,,
Doedicurus,,,10
Dog,,,91
Dolichuranus,,,10
Domestic yak,,,80
Donkey,"[""Ass""]",Equus africanus asinus,80
Dorcopsis,,,30
Dormouse,,Gliridae,60
Dorudon,,,20
Dorudontinae,,,
Doryanthes,,,30
Dracovenator,,,10
Dromaeosauridae subclade 1,,,
Dromaeosauridae subclade 2,,,
Dromaeosauridae,,,
Dromaeosaurinae,,,
Dromaeosaurus,,,10
Dromomeron,,,10
Dromomerycinae,,,
Dromomeryx,,,10
Dryomorpha,,,
Dryosauridae,,,
